name,code,state_id
AGUASCALIENTES,AG_01,1
ASIENTOS,AS_02,1
CALVILLO,CA_03,1
COSIO,CO_04,1
JESUS MARIA,JE_05,1
PABELLON DE ARTEAGA,PA_06,1
RINCON DE ROMOS,RI_07,1
SAN JOSE DE GRACIA,SA_08,1
TEPEZALA,TE_09,1
EL LLANO,EL_10,1
SAN FRANCISCO DE LOS ROMO,SA_11,1
NO ESPECIFICADO,NO_99,1
ENSENADA,EN_01,2
MEXICALI,ME_02,2
TECATE,TE_03,2
TIJUANA,TI_04,2
PLAYAS DE ROSARITO,PL_05,2
SAN QUINTIN,SA_06,2
SAN FELIPE,SA_07,2
NO ESPECIFICADO,NO_99,2
COMONDU,CO_01,3
MULEGE,MU_02,3
LA PAZ,LA_03,3
LOS CABOS,LO_08,3
LORETO,LO_09,3
NO ESPECIFICADO,NO_99,3
CALKINI,CA_01,4
CAMPECHE,CA_02,4
CARMEN,CA_03,4
CHAMPOTON,CH_04,4
HECELCHAKAN,HE_05,4
HOPELCHEN,HO_06,4
PALIZADA,PA_07,4
TENABO,TE_08,4
ESCARCEGA,ES_09,4
CALAKMUL,CA_10,4
CANDELARIA,CA_11,4
SEYBAPLAYA,SE_12,4
DZITBALCHE,DZ_13,4
NO ESPECIFICADO,NO_99,4
ABASOLO,AB_01,5
ACUÑA,AC_02,5
ALLENDE,AL_03,5
ARTEAGA,AR_04,5
CANDELA,CA_05,5
CASTAÑOS,CA_06,5
CUATRO CIENEGAS,CU_07,5
ESCOBEDO,ES_08,5
FRANCISCO I. MADERO,FR_09,5
FRONTERA,FR_10,5
GENERAL CEPEDA,GE_11,5
GUERRERO,GU_12,5
HIDALGO,HI_13,5
JIMENEZ,JI_14,5
JUAREZ,JU_15,5
LAMADRID,LA_16,5
MATAMOROS,MA_17,5
MONCLOVA,MO_18,5
MORELOS,MO_19,5
MUZQUIZ,MU_20,5
NADADORES,NA_21,5
NAVA,NA_22,5
OCAMPO,OC_23,5
PARRAS,PA_24,5
PIEDRAS NEGRAS,PI_25,5
PROGRESO,PR_26,5
RAMOS ARIZPE,RA_27,5
SABINAS,SA_28,5
SACRAMENTO,SA_29,5
SALTILLO,SA_30,5
SAN BUENAVENTURA,SA_31,5
SAN JUAN DE SABINAS,SA_32,5
SAN PEDRO,SA_33,5
SIERRA MOJADA,SI_34,5
TORREON,TO_35,5
VIESCA,VI_36,5
VILLA UNION,VI_37,5
ZARAGOZA,ZA_38,5
NO ESPECIFICADO,NO_99,5
ARMERIA,AR_01,6
COLIMA,CO_02,6
COMALA,CO_03,6
COQUIMATLAN,CO_04,6
CUAUHTEMOC,CU_05,6
IXTLAHUACAN,IX_06,6
MANZANILLO,MA_07,6
MINATITLAN,MI_08,6
TECOMAN,TE_09,6
VILLA DE ALVAREZ,VI_10,6
NO ESPECIFICADO,NO_99,6
ACACOYAGUA,AC_01,7
ACALA,AC_02,7
ACAPETAHUA,AC_03,7
ALTAMIRANO,AL_04,7
AMATAN,AM_05,7
AMATENANGO DE LA FRONTERA,AM_06,7
AMATENANGO DEL VALLE,AM_07,7
ANGEL ALBINO CORZO,AN_08,7
ARRIAGA,AR_09,7
BEJUCAL DE OCAMPO,BE_10,7
BELLA VISTA,BE_11,7
BERRIOZABAL,BE_12,7
BOCHIL,BO_13,7
EL BOSQUE,EL_14,7
CACAHOATAN,CA_15,7
CATAZAJA,CA_16,7
CINTALAPA DE FIGUEROA,CI_17,7
COAPILLA,CO_18,7
COMITAN DE DOMINGUEZ,CO_19,7
LA CONCORDIA,LA_20,7
COPAINALA,CO_21,7
CHALCHIHUITAN,CH_22,7
CHAMULA,CH_23,7
CHANAL,CH_24,7
CHAPULTENANGO,CH_25,7
CHENALHO,CH_26,7
CHIAPA DE CORZO,CH_27,7
CHIAPILLA,CH_28,7
CHICOASEN,CH_29,7
CHICOMUSELO,CH_30,7
CHILON,CH_31,7
ESCUINTLA,ES_32,7
FRANCISCO LEON,FR_33,7
FRONTERA COMALAPA,FR_34,7
FRONTERA HIDALGO,FR_35,7
LA GRANDEZA,LA_36,7
HUEHUETAN,HU_37,7
HUIXTAN,HU_38,7
HUITIUPAN,HU_39,7
HUIXTLA,HU_40,7
LA INDEPENDENCIA,LA_41,7
IXHUATAN,IX_42,7
IXTACOMITAN,IX_43,7
IXTAPA,IX_44,7
IXTAPANGAJOYA,IX_45,7
JIQUIPILAS,JI_46,7
JITOTOL,JI_47,7
JUAREZ,JU_48,7
LARRAINZAR,LA_49,7
LA LIBERTAD,LA_50,7
MAPASTEPEC,MA_51,7
LAS MARGARITAS,LA_52,7
MAZAPA DE MADERO,MA_53,7
MAZATAN,MA_54,7
METAPA,ME_55,7
MITONTIC,MI_56,7
MOTOZINTLA,MO_57,7
NICOLAS RUIZ,NI_58,7
OCOSINGO,OC_59,7
OCOTEPEC,OC_60,7
OCOZOCOAUTLA DE ESPINOSA,OC_61,7
OSTUACAN,OS_62,7
OSUMACINTA,OS_63,7
OXCHUC,OX_64,7
PALENQUE,PA_65,7
PANTELHO,PA_66,7
PANTEPEC,PA_67,7
PICHUCALCO,PI_68,7
PIJIJIAPAN,PI_69,7
EL PORVENIR,EL_70,7
VILLA COMALTITLAN,VI_71,7
PUEBLO NUEVO SOLISTAHUACAN,PU_72,7
RAYON,RA_73,7
REFORMA,RE_74,7
LAS ROSAS,LA_75,7
SABANILLA,SA_76,7
SALTO DE AGUA,SA_77,7
SAN CRISTOBAL DE LAS CASAS,SA_78,7
SAN FERNANDO,SA_79,7
SILTEPEC,SI_80,7
SIMOJOVEL,SI_81,7
SITALA,SI_82,7
SOCOLTENANGO,SO_83,7
SOLOSUCHIAPA,SO_84,7
SOYALO,SO_85,7
SUCHIAPA,SU_86,7
