name,code
AGUASCALIENTES,AG_01
BAJA CALIFORNIA,BA_02
BAJA CALIFORNIA SUR,BA_03
CAMPECHE,CA_04
COAHUILA DE ZARAGOZA,CO_05
COLIMA,CO_06
CHIAPAS,CH_07
CHIHUAHUA,CH_08
CIUDAD DE MÉXICO,CI_09
DURANGO,DU_10
GUANAJUATO,GU_11
GUERRERO,GU_12
HIDALGO,HI_13
JALISCO,JA_14
MÉXICO,MÉ_15
MICHOACÁN DE OCAMPO,MI_16
MORELOS,MO_17
NAYARIT,NA_18
NUEVO LEÓN,NU_19
OAXACA,OA_20
PUEBLA,PU_21
QUERÉTARO,QU_22
QUINTANA ROO,QU_23
SAN LUIS POTOSÍ,SA_24
SINALOA,SI_25
SONORA,SO_26
TABASCO,TA_27
TAMAULIPAS,TA_28
TLAXCALA,TL_29
VERACRUZ DE IGNACIO DE LA LLAVE,VE_30
YUCATÁN,YU_31
ZACATECAS,ZA_32
